COMBUSTIBLE,ESTADO,MODELO,FECHA_DE_REGISTRO,CLASIFICACION,CLASE,SERVICIO,MARCA,LINEA,CARROCERIA,CILINDRAJE,MODALIDAD,ORGANISMO_TRANSITO,MUNICIPIO,DEPARTAMENTO,CAPACIDAD_CARGA,CAPACIDAD_PASAJEROS,PESO,POTENCIA,EJES,CANTIDAD
ELECTRICO,ACTIVO,2021,2021,AUTOMOVIL,CAMIONETA,Público,DONGFENG,DFA5030XXYABEV7,PANEL,,CARGA,STRIA TTEyTTO BELLO,BELLO,Antioquia,845,,2550,80,2,1
ELECTRICO,ACTIVO,2022,2022,AUTOMOVIL,CAMION,Público,STARK,STQ1079L02Y1NBEV,ESTIBAS,0,CARGA,STRIA TTEyTTO BELLO,BELLO,Antioquia,3020,,7365,161,2,1
ELECTRICO,ACTIVO,2021,2021,AUTOMOVIL,CUADRICICLO,Particular,ZHIDOU,D2S,SIN CARROCERIA,,,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,,,,20,,1
ELECTRICO,ACTIVO,2021,2021,AUTOMOVIL,CAMIONETA,Público,DONGFENG,DFA5030XXYABEV7,PANEL,,CARGA,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,845,,845,80,,1
ELECTRICO,ACTIVO,2021,2021,AUTOMOVIL,CAMIONETA,Público,DONGFENG,DFA5030XXYABEV7,PANEL,,CARGA,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,845,,,80,,1
ELECTRICO,ACTIVO,2023,2022,AUTOMOVIL,CAMIONETA,Particular,BYD,TANG EV,WAGON,0,,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,3060,509,2,1
ELECTRICO,ACTIVO,2022,2022,AUTOMOVIL,CAMION,Público,STARK,STQ1079L02Y1NBEV,ESTIBAS,0,CARGA,STRIA TTEyTTO BELLO,BELLO,Antioquia,3020,,7365,161,2,1
ELECTRICO,ACTIVO,2022,2022,AUTOMOVIL,CAMIONETA,Particular,BMW,IX3 M SPORT,WAGON,0,PASAJEROS,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,2255,286,2,1
ELECTRICO,ACTIVO,2019,2020,MOTO,MOTOCICLETA,Particular,ZXMCO,PYTHON,SIN CARROCERIA,50,PASAJEROS,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,0,0,0,0,1
ELECTRICO,ACTIVO,2018,2018,MOTO,MOTOCICLETA,Particular,NIU,M1,SIN CARROCERIA,0,,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,,3,,1
ELECTRICO,ACTIVO,2019,2018,AUTOMOVIL,AUTOMOVIL,Particular,RENAULT,ZOE,HATCH BACK,0,,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,1965,92,2,1
ELECTRICO,ACTIVO,2022,2022,AUTOMOVIL,CAMIONETA,Particular,BMW,IX3 M SPORT,WAGON,0,PASAJEROS,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,2178,286,2,1
ELECTRICO,ACTIVO,2020,2019,AUTOMOVIL,CAMIONETA,Público,RENAULT,KANGOO ZE,PANEL,,CARGA,STRIA TTEyTTO BELLO,BELLO,Antioquia,535,,2190,60,2,1
ELECTRICO,ACTIVO,2016,2017,MOTO,MOTOCICLETA,Particular,STÄRKER,HUNTER,SIN CARROCERIA,0,,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,,,,1,,1
ELECTRICO,ACTIVO,2021,2021,AUTOMOVIL,CUADRICICLO,Particular,ZHIDOU,D2S,SIN CARROCERIA,0,,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,0,0,20,0,1
ELECTRICO,ACTIVO,2022,2022,AUTOMOVIL,CAMION,Público,STARK,STQ1079L02Y1NBEV,ESTIBAS,0,CARGA,STRIA TTEyTTO BELLO,BELLO,Antioquia,3020,0,7365,161,2,1
ELECTRICO,ACTIVO,2019,2018,AUTOMOVIL,AUTOMOVIL,Particular,BMW,I3,HATCH BACK,0,PASAJEROS,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,1320,170,2,1
ELECTRICO,ACTIVO,2020,2020,AUTOMOVIL,AUTOMOVIL,Particular,RENAULT,ZOE,HATCH BACK,0,PASAJEROS,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,1965,92,2,1
ELECTRICO,ACTIVO,2020,2020,AUTOMOVIL,CUADRICICLO,Particular,ORANSH,M2 HIGH SPEED,SIN CARROCERIA,,,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,,10,2,1
ELECTRICO,ACTIVO,2022,2022,AUTOMOVIL,CUADRICICLO,Particular,ZHIDOU,D2S,SIN CARROCERIA,,,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,,,,20,,1
ELECTRICO,ACTIVO,2013,2013,MOTO,MOTOCICLETA,Particular,ENERGY MOTION,MSG C,SIN CARROCERIA,70,,STRIA TTEyTTO ITAGUI,ITAGUI,Antioquia,,,,,,1
ELECTRICO,ACTIVO,2022,2022,AUTOMOVIL,CUADRICICLO,Particular,ZHIDOU,D2S,SIN CARROCERIA,,,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,,,,20,,1
