date, pm25, pm10, no2
2022/11/12, 64, , 9
2022/11/13, 56, , 4
2022/11/14, 47, , 4
2022/11/15, 29, , 10
2022/11/16, 46, , 11
2022/11/17, 62, , 12
2022/11/18, 79, , 13
2022/11/19, 68, , 12
2022/11/20, 72, , 6
2022/11/21, 72, , 10
2022/11/22, 75, , 7
2022/11/23, 62, , 8
2022/11/24, 49, , 8
2022/11/25, 53, , 9
2022/11/26, 55, , 6
2022/11/27, 81, , 3
2022/11/28, 70, , 5
2022/11/29, 56, , 11
2022/11/30, 68, , 14
2022/12/1, 72, , 12
2022/12/2, 65, , 11
2022/12/3, 51, , 14
2022/12/4, 51, , 10
2022/12/5, 50, , 14
2022/12/6, 50, , 19
2022/12/7, 51, , 17
2022/12/8, 55, , 12
2022/12/9, 72, , 19
2022/12/10, 61, , 14
2022/12/11, 64, , 10
2022/12/12, 61, , 19
2022/12/13, 63, , 20
2022/12/14, 69, , 9
2022/12/15, 66, , 10
2022/12/16, 58, , 10
2022/12/17, 55, , 14
2022/12/18, 69, , 8
2022/12/19, 74, , 11
2022/12/20, 63, , 13
2022/12/21, 68, , 14
2022/12/22, 80, , 13
2022/12/23, 76, , 18
2022/12/24, 79, , 12
2022/12/25, 79, , 7
2022/12/26, 86, , 10
2022/12/27, 73, , 13
2022/12/28, 68, , 11
2022/12/29, 67, , 12
2022/12/30, 66, , 15
2022/12/31, 74, , 10
2023/1/1, 70, , 8
2023/1/2, 102, , 11
2022/7/2, 81, , 14
2022/7/3, 92, , 6
2022/7/4, 78, , 4
2022/7/5, 69, , 7
2022/7/6, 66, , 8
2022/7/7, 66, , 9
2022/7/8, 73, , 9
2022/7/9, 68, , 9
2022/7/10, 77, , 6
2022/7/11, 59, , 13
2022/7/12, 69, , 12
2022/7/13, 80, , 9
2022/7/14, 68, , 8
2022/7/15, 64, , 9
2022/7/16, 74, , 8
2022/7/17, 83, , 3
2022/7/18, 74, , 4
2022/7/19, 64, , 5
2022/7/20, 71, , 4
2022/7/21, 68, , 7
2022/7/22, 78, , 8
2022/7/23, 79, , 9
2022/7/24, 74, , 6
2022/7/25, 75, , 11
2022/7/26, 66, , 12
2022/7/27, 74, , 11
2022/7/28, 82, , 12
2022/7/29, 75, , 10
2022/7/30, 69, , 7
2022/7/31, 68, , 7
2022/8/1, 70, , 10
2022/8/2, 73, , 12
2022/8/3, 85, , 12
2022/8/4, 93, , 11
2022/8/5, 82, , 13
2022/8/6, 79, , 13
2022/8/10, 72, , 10
2022/8/11, 75, , 10
2022/8/12, 69, , 12
2022/8/13, 88, , 8
2022/8/14, 80, , 5
